,0,1,2,3,4,5,6,7,8,9,10,11,12
173,158,"J.W. Walsh, QB",OKST,48,71,67.6,663,9.3,75,13,1,0,203.7
174,159,"Maty Mauk, QB",MIZ,57,110,51.8,654,5.9,51,6,4,5,112.5
175,160,"Ryan Graham, QB",NIU,48,81,59.3,653,8.1,68,6,3,8,144.0
176,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
177,161,"Austin Apodaca, QB",UNM,50,97,51.5,644,6.6,81,1,5,4,100.4
178,162,"Jordy Joseph, QB",TULN,46,91,50.5,619,6.8,66,6,3,5,122.9
179,163,"Cade Apsay, QB",COLO,59,92,64.1,582,6.3,50,3,5,14,117.2
180,164,"Parker Boehme, QB",DUKE,43,77,55.8,579,7.5,52,2,1,6,125.0
181,165,"Nick Mitchell, QB",ORST,51,113,45.1,571,5.1,74,3,4,8,89.3
182,166,"Mitch Trubisky, QB",UNC,40,47,85.1,555,11.8,64,6,0,1,226.4
183,167,"Jeff Lockie, QB",ORE,54,84,64.3,544,6.5,44,5,4,9,128.8
184,168,"Earnest Carrington, QB",ULM,56,119,47.1,539,4.5,74,5,7,10,87.2
185,169,"Tyrone Swoopes, QB",TEX,47,93,50.5,537,5.8,57,4,1,4,111.1
186,170,"Zack Mahoney, QB",SYR,54,117,46.2,535,4.6,40,7,2,7,100.9
187,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
188,171,"Bo Schneider, QB",UCF,54,105,51.4,534,5.1,62,2,7,10,87.1
189,172,"Kevin Ellison, QB",GASO,37,84,44.0,532,6.3,60,3,5,6,97.1
190,173,"Nick Jeanty, QB",NMSU,54,101,53.5,531,5.3,77,3,2,7,103.5
191,174,"Jerrard Randall, QB",ARIZ,47,95,49.5,518,5.5,38,5,3,1,106.3
192,175,"Kyle Shurmur, QB",VAN,44,103,42.7,503,4.9,37,5,3,9,93.9
193,176,"Peyton Bender, QB",WSU,53,91,58.2,498,5.5,50,3,4,3,106.3
194,177,"Ryan Finley, QB",BSU,46,70,65.7,485,6.9,43,1,4,6,117.2
195,178,"John Fadule, QB",BC,38,73,52.1,464,6.4,37,1,4,10,99.0
196,179,"Kyle Postma, QB",HOU,41,66,62.1,450,6.8,40,3,1,3,131.4
197,180,"Ryker Fyfe, QB",NEB,34,55,61.8,440,8.0,52,5,5,2,140.8
198,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
199,,"Brooks Barden, QB",CHAR,49,99,49.5,440,4.4,31,4,5,18,90.1
200,182,"Ahmad Bradshaw, QB",ARMY,23,48,47.9,429,8.9,37,5,2,7,149.0
201,183,"Malik Zaire, QB",ND,26,40,65.0,428,10.7,66,4,0,2,187.9
202,184,"Marcus McMaryion, QB",ORST,27,67,40.3,403,6.0,47,1,3,4,86.8
203,185,"Jake Luton, QB",IDHO,49,78,62.8,383,4.9,37,1,4,5,98.0
204,186,"Troy Flutie, QB",BC,24,49,49.0,382,7.8,66,3,1,5,130.6
205,187,"Lorenzo Nunez, QB",SC,32,52,61.5,376,7.2,35,3,3,6,129.8
206,188,"Bram Kohlhausen, QB",TCU,27,43,62.8,369,8.6,86,3,1,1,153.2
207,189,"Michael Birdsong, QB",MRSH,43,80,53.8,365,4.6,27,2,4,5,90.3
208,190,"Drew Barker, QB",UK,35,70,50.0,364,5.2,42,1,2,5,92.7
209,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
210,191,"Jack Milas, QB",BALL,35,67,52.2,343,5.1,36,1,3,1,91.2
211,192,"Malik Rosier, QB",MIA,29,57,50.9,338,5.9,33,2,3,3,101.7
212,,"Brandon Dawkins, QB",ARIZ,20,38,52.6,338,8.9,95,2,2,10,134.2
213,194,"Christian Chapman, QB",SDSU,21,38,55.3,323,8.5,48,1,1,1,130.1
214,195,"Tyler Stehling, QB",RICE,24,48,50.0,320,6.7,37,1,2,4,104.5
215,196,"Reginald Bell, QB",EMU,35,59,59.3,308,5.2,38,2,3,12,104.2
216,,"Tyler Harris, QB",UCF,26,61,42.6,308,5.0,36,4,2,3,100.1
217,198,"Trevor Knight, QB",OKLA,22,40,55.0,305,7.6,55,2,2,2,125.5
218,199,"A.J. Schurr, QB",ARMY,11,29,37.9,300,10.3,71,3,4,4,131.4
219,,"Davis Webb, QB",TTU,22,41,53.7,300,7.3,51,2,0,0,131.2
220,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
221,201,"Dallas Tidwell, QB",TROY,25,54,46.3,298,5.5,43,1,2,1,91.4
222,,"Chason Virgil, QB",FRES,31,56,55.4,298,5.3,37,3,3,1,107.0
223,203,"Cooper Bateman, QB",ALA,37,51,72.5,291,5.7,31,1,2,1,119.1
224,204,"Kody Cook, WR",KSU,18,42,42.9,284,6.8,77,3,3,11,108.9
225,205,"Bart Houston, QB",WIS,27,45,60.0,281,6.2,23,3,2,3,125.6
226,,"Tim Boyle, QB",CONN,31,60,51.7,281,4.7,25,0,2,2,84.3
227,207,"Taysom Hill, QB",BYU,21,34,61.8,268,7.9,53,1,1,3,131.8
228,208,"Jordan Davis, QB",ULL,27,42,64.3,267,6.4,47,1,0,4,125.5
229,209,"Greg Windham, QB",OHIO,18,39,46.2,265,6.8,51,1,4,1,91.2
230,,"Tommy Fiedler, QB",NIU,21,45,46.7,265,5.9,32,2,3,4,97.5
231,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
232,211,"Jeff Smith, QB",BC,27,82,32.9,253,3.1,39,2,3,8,59.6
233,212,"Coleman Key, QB",CSU,21,44,47.7,251,5.7,49,3,3,2,104.5
234,213,"Brice Ramsey, QB",UGA,20,33,60.6,247,7.5,31,1,2,3,121.4
235,214,"Nick Smith, QB",WYO,27,60,45.0,245,4.1,25,2,1,6,87.0
236,215,"Nick Dylan Fitzgerald, QB",MSST,11,14,78.6,235,16.8,49,3,0,0,290.3
237,,"Connor White, QB",TXST,26,47,55.3,235,5.0,29,1,2,2,95.8
238,217,"Hayden Rettig, QB",RUTG,14,25,56.0,233,9.3,58,2,0,1,160.7
239,218,"Darius Wade, QB",BC,21,42,50.0,232,5.5,22,2,1,4,107.4
240,219,"Kendal Thompson, QB",UTAH,28,36,77.8,220,6.1,43,1,1,0,132.7
241,,"Chris Johnson, QB",BAY,15,38,39.5,220,5.8,71,3,2,2,103.6
242,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
243,221,"Kavika Johnson, QB",UTEP,27,53,50.9,218,4.1,58,3,0,5,104.2
244,222,"Favian Upshaw, QB",GASO,18,45,40.0,210,4.7,28,0,5,2,57.0
245,223,"Darrel Colbert Jr., QB",SMU,15,21,71.4,203,9.7,37,1,0,3,168.3
246,224,"Gus Ragland, QB",M-OH,20,29,69.0,196,6.8,19,3,0,1,159.9
247,225,"Zack Oliver, QB",NW,17,40,42.5,195,4.9,37,1,2,6,81.7
248,226,"Reggie Bonnafon, QB",LOU,14,24,58.3,192,8.0,40,2,1,6,144.7
249,227,"Quinten Dormady, QB",TENN,11,18,61.1,181,10.1,49,1,0,2,163.9
250,228,"Nick Schuessler, QB",CLEM,13,23,56.5,177,7.7,38,0,1,2,112.5
251,,"Steven Bench, QB",USF,14,22,63.6,177,8.0,62,2,1,1,152.1
252,,"Clay Holgorsen, QB",MEM,14,20,70.0,177,8.9,36,1,1,0,150.8
253,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
254,231,"James Knapke, QB",BGSU,14,20,70.0,173,8.7,43,1,0,0,159.2
